,Unnamed: 0,content,score,thumbsUpCount,Application,spam
0,0,không làm được,1,1,Messenger,clean
1,1,đăng xuất ra vô lại bị lỗi nhìu,1,1,Messenger,clean
3,3,1 sao vì chặn mà vẫn gỡ được,1,0,Messenger,clean
4,4,sản năm sao luân,5,1,Messenger,clean
6,6,mất ft hoài,1,1,Messenger,clean
7,7,ko hề tốt,5,0,Messenger,clean
8,8,lỗi lắm ạ,2,0,Messenger,clean
11,11,messenger trash,1,4,Messenger,clean
12,12,lag giật nặng lỗi nhiều,1,1,Messenger,clean
14,14,trong mess có quảng cáo ko thích chút nào,5,4,Messenger,clean
17,17,cần khắc phục lỗi ko gửi đc tin nhắn,1,7,Messenger,clean
19,19,gọi video tự tắt và để không trả lời,1,0,Messenger,clean
23,23,ko cap nhật dc,4,0,Messenger,clean
25,25,lỗi suốt cần nhà sản xuất khắc phục lỗi .,1,0,Messenger,clean
26,26,tệ cực cả ngày chả ai nhắn cả,1,0,Messenger,clean
28,28,không chia sẻ màn hình được,1,0,Messenger,clean
29,29,không bật được bong bóng chat,3,2,Messenger,clean
30,30,lâu lâu vô không được,1,0,Messenger,clean
31,31,mong ít lỗi hơn ạ,5,5,Messenger,clean
32,32,sao ko có âm thanh gì hết,2,1,Messenger,clean
35,35,t ko vô đc,1,0,Messenger,clean
41,41,đẹp tươi,5,0,Messenger,clean
42,42,tại sao gọi ko dc vậy,1,0,Messenger,clean
43,43,lỗi hoài không có thông bảo ra,1,0,Messenger,clean
46,46,lỗi hoài .,1,0,Messenger,clean
48,48,yêu cầu thêm chức năng kích ng kh ạ,5,5,Messenger,clean
49,49,cập nhật xong hết sài được luôn,1,0,Messenger,clean
50,50,cuộc gọi đến không hiển thị trên màn hình điện thoại phải tìm,2,5,Messenger,clean
51,51,cập nhật mà không được suốt ngày lỗi,1,0,Messenger,clean
52,52,tự nhiên kh tắt được tiếng thông báo mess ngang,4,1,Messenger,clean
54,54,giật lag hoài,1,0,Messenger,clean
55,55,gọi ko đc,1,0,Messenger,clean
58,58,nhắn tin không hiện bong bóng chat,3,0,Messenger,clean
59,59,tốt thế nài mà bạn lại bảo là ko tốt lạ thật sự luôn,5,0,Messenger,clean
60,60,không chia sẻ được màn hình lỗi,1,0,Messenger,clean
63,63,tệ quá lỗi mess chả ib được cho bạn mới,1,0,Messenger,clean
64,64,voice cứ bị lỗi là sao nhỉ .,1,0,Messenger,clean
66,66,líp rách,5,0,Messenger,clean
67,67,gọi bị lỗi tự tắt không luôn,1,0,Messenger,clean
68,68,k gọi đc,1,0,Messenger,clean
69,69,bot ngu không chịu được,1,4,Messenger,clean
70,70,tải về ko ai nhắn tin,3,0,Messenger,clean
72,72,nó hay chụt chặt,1,0,Messenger,clean
76,76,luôn lag và hay bị mất kết nối,3,1,Messenger,clean
77,77,sao không gọi được tứk gì đau,4,4,Messenger,clean
78,78,hệ thống lỗi không gọi được,1,0,Messenger,clean
79,79,ko tải đc,1,89,Messenger,clean
80,80,cx oky,5,0,Messenger,clean
81,81,bị lỗi đủ thứ,1,0,Messenger,clean
83,83,mess lỗi hoài dậy,1,0,Messenger,clean
85,85,bị lỗi không đăng nhập vô được cộng với gửi tin nhắn lâu,1,7,Messenger,clean
86,86,k thể cập nhật lại bị lag nc ạ,3,4,Messenger,clean
90,90,sữa thơm ngon giúp con cao khỏe tăng chiều cao vượt trội giúp con vui khỏe mỗi ngày,5,4,Messenger,clean
93,93,chê lỗi hoài lun,1,0,Messenger,clean
95,95,kh đăng nhập dc,1,0,Messenger,clean
96,96,lỗi vãi nt đeo đc,1,8,Messenger,clean
101,101,bị lỗi quài .,1,0,Messenger,clean
102,102,mess đổi màu anh đổi ng .,5,0,Messenger,clean
106,106,vì rất lag và nhiều lỗi,4,1,Messenger,clean
107,107,gỡ tài khoản xong nó cứ hiện lại kh gỡ đc,4,6,Messenger,clean
110,110,nên tạo nhiều ft đẹp hơn và khi gửi video qua thì mờ và ko rõ nên xem xét lại,3,4,Messenger,clean
111,111,ko goi dc video,1,2,Messenger,clean
112,112,lỗi hoài ha,2,0,Messenger,clean
113,113,có lỗi đăng nhập ko được mông sẽ khắc phục,1,0,Messenger,clean
115,115,cx ổn,5,0,Messenger,clean
116,116,hk có chú thjk,1,25,Messenger,clean
117,117,bj lỗi hả sao tải ko đc,1,0,Messenger,clean
119,119,rất tốt mong cập nhật để tiện hơn,5,0,Messenger,clean
121,121,có cái hơi lắc,4,0,Messenger,clean
124,124,xài bị ngắt liên tục,2,5,Messenger,clean
127,127,cứ bị lỗi hoài bực,1,0,Messenger,clean
128,128,ra nhiều fiu tơ đẹp hơn đc khum,5,7,Messenger,clean
130,130,ko cập nhập đc tính năng chia sẻ trạng thái mặc dù đã cập nhập ứng dụng rồi,2,4,Messenger,clean
131,131,được thì xào ko xào thì thôi,5,0,Messenger,clean
135,135,mess bị lỗi không,3,2,Messenger,clean
136,136,k có lỗi,1,0,Messenger,clean
139,139,bị lỗi nt lâu lâu là bị,5,0,Messenger,clean
141,141,hk chia sẻ màn hình đc,5,1,Messenger,clean
142,142,lag lỗi nhiều,1,0,Messenger,clean
144,144,tải lại bị mất tin nhắn cộng đồng là sao z,4,6,Messenger,clean
147,147,lỗi mãi ko đăng nhập đc,1,0,Messenger,clean
148,148,mở ko được luôn,4,1,Messenger,clean
149,149,rất là hay và tốt,5,0,Messenger,clean
151,151,lúc thì chia sẻ được lúc thì không chia sẻ được màn hình,3,3,Messenger,clean
152,152,người ta nhắn qua tui kh rep đc .,3,0,Messenger,clean
153,153,lỗi hoài lun,1,0,Messenger,clean
158,158,đang bóng chat vuông tự nhiên thành tròn chiếm diện tích quá mong nph sớm fix,3,5,Messenger,clean
159,159,đăng nhập lại ko đc,1,9,Messenger,clean
160,160,càng ngày tối ưu ứng dụng càng tệ,1,0,Messenger,clean
164,164,đá đc nhiều thằng zui phết,4,20,Messenger,clean
165,165,lỗi trầm trọng,1,0,Messenger,clean
166,166,nhanh chóng và chính xác tôi rất thích,5,0,Messenger,clean
167,167,cập nhật liên tục mà lỗi hoài,1,0,Messenger,clean
168,168,lỗi tùm lum,1,9,Messenger,clean
169,169,sao gọi ko đc,1,0,Messenger,clean
170,170,đang chơi game cứ hiện bóng chat,1,0,Messenger,clean
173,173,dạo này message lỗi ghê,1,0,Messenger,clean
174,174,bị khoá không lí do chính đáng,1,0,Messenger,clean
177,177,ứng dung hay,5,0,Messenger,clean
179,179,ko vào được,1,8,Messenger,clean
181,181,tôi rất thích nghe mà,5,6,Messenger,clean
184,184,ok nhưng ko chia sẻ màn hình đc,4,1,Messenger,clean
187,187,k thấy hoạt động,1,0,Messenger,clean
188,188,ứng dụng tuyệt vời lắm,5,0,Messenger,clean
189,189,5 sao kh có nhưng,5,8,Messenger,clean
191,191,messenger lỗi điện không được cay vãi ạ,2,0,Messenger,clean
193,193,tôi đánh giá nầy rất cao,4,1,Messenger,clean
194,194,làm ăn kiểu gì mà bị lỗi hoài không vào được vậy,1,0,Messenger,clean
195,195,còn lỗi mong khắc phục,4,6,Messenger,clean
196,196,nhiều lúc bị hách ních,4,5,Messenger,clean
200,200,dạo này lỗi nhiều,1,0,Messenger,clean
201,201,đc chứ ko hẳn là ovenai,4,8,Messenger,clean
202,202,trât tuyêt voi,5,0,Messenger,clean
205,205,tự nhiên mất tiếng chuông thông báo luôn,2,0,Messenger,clean
206,206,lag quá ko gửi đc tin nhắn,1,0,Messenger,clean
215,215,1 đống lỗi,1,0,Messenger,clean
218,218,lỗi vặt liên tục,1,0,Messenger,clean
219,219,tốc độ truyền tuyệt vời,1,2,Messenger,clean
220,220,mess lỗi rất nhiều hết lỗi mic xong lỗi filter ko tải đc,2,22,Messenger,clean
223,223,mes lỗi qas nha,2,1,Messenger,clean
226,226,lỗi nhiều đã gửi bản báo cáo nhưng vẫn không khắc phục dc,1,10,Messenger,clean
227,227,đôi lúc lỗi nhẹ,5,0,Messenger,clean
229,229,lỗi quài tr ơi,3,2,Messenger,clean
230,230,tả về mak ko chấp nhận là sao v,1,0,Messenger,clean
231,231,chạy tốt lắm sai ngon,5,2,Messenger,clean
232,232,sao hay bị mất ứng dụng filter quá,3,1,Messenger,clean
233,233,ứng dụng kém quá,1,0,Messenger,clean
234,234,lỗi không gọi được,1,0,Messenger,clean
235,235,tự nhiên lỗi pay mất nich,1,0,Messenger,clean
236,236,mess lỏ quãi,1,0,Messenger,clean
238,238,dùng ok,4,0,Messenger,clean
239,239,lỗi nt mog sủa,1,0,Messenger,clean
241,241,ủa bong bóng chat bị tàng hình .,1,0,Messenger,clean
245,245,lỗi video vs đăng nhập nhâ nhưng mà có mấy tính nắng mới hay nha,5,0,Messenger,clean
247,247,tệ quá tệ,1,0,Messenger,clean
249,249,dỡ ẹt,1,0,Messenger,clean
250,250,sao cứ thấy nó lỗi lỗi kiểu j,3,1,Messenger,clean
251,251,gọi điện không đc,1,0,Messenger,clean
253,253,tải về xong coá tải lại vẫn cứ vào được,1,0,Messenger,clean
255,255,sao kh lưu đc ảnh .,2,0,Messenger,clean
264,264,không chia sẻ màn hình dc,4,1,Messenger,clean
265,265,k có cửa sổ thu nhỏ khi gọi,1,0,Messenger,clean
266,266,1s deo can ly do,1,0,Messenger,clean
268,268,that la rat tot,5,0,Messenger,clean
270,270,ko nhận được thông báo ko voci đi ko ns chung là chê,1,0,Messenger,clean
271,271,nhắn tinh mà ko hiện ra bên ngoài để thấy,4,0,Messenger,clean
272,272,lỗi quài bựa cả mình,1,9,Messenger,clean
273,273,tui ko tải đc,1,0,Messenger,clean
274,274,có quá nhiều lỗi,1,0,Messenger,clean
276,276,gửi tin nhắn không được,1,1,Messenger,clean
278,278,k dùng phiu tơ đc,3,0,Messenger,clean
280,280,lỗi quá .,1,31,Messenger,clean
281,281,đặng nhập không được,1,0,Messenger,clean
282,282,ko có trạng thái tùy chỉnh,1,0,Messenger,clean
284,284,đang nhắn cái bị lỗi zô hời hk đc,1,5,Messenger,clean
